Fra;Til;Antall personer;År
Oslo;Vestfold;2189;2021
Innlandet;Vestfold;387;2021
Agder;Vestfold;338;2021
Vestland;Vestfold;448;2021
Trøndelag;Vestfold;436;2021
Rogaland;Vestfold;282;2021
Møre og Romsdal;Vestfold;178;2021
Nordland;Vestfold;240;2021
Akershus;Vestfold;855;2021
Buskerud;Vestfold;1315;2021
Telemark;Vestfold;644;2021
Finnmark;Vestfold;154;2021
Troms;Vestfold;224;2021
Østfold;Vestfold;404;2021
Vestfold;Oslo;1869;2021
Vestfold;Innlandet;336;2021
Vestfold;Agder;367;2021
Vestfold;Vestland;445;2021
Vestfold;Trøndelag;382;2021
Vestfold;Rogaland;245;2021
Vestfold;Møre og Romsdal;135;2021
Vestfold;Nordland;181;2021
Vestfold;Akershus;526;2021
Vestfold;Buskerud;955;2021
Vestfold;Telemark;615;2021
Vestfold;Finnmark;103;2021
Vestfold;Troms;128;2021
Vestfold;Østfold;396;2021
