12427: Endring i arbeidsstyrkestatus. Bosatte personer 15 år og over, etter startår, prioritert arbeidsstyrkestatus i tidsserien, prioritert arbeidsstyrkestatus i startåret, statistikkvariabel, år, kjønn, alder i startåret, utdanningsnivå i startåret og innvandringskategori;;;
;;;
;;;Bosatte
;;;2022
;;;Begge kjønn
;;;15-29 år
;;;Utdanningsnivå i alt
;2022;2021;I alt
2021;Sysselsatte;Registrerte arbeidsledige;5681
;;Mottakere av arbeidsavklaringspenger / uføretrygd;1906
;;Andre;18027
;Registrerte arbeidsledige;Registrerte arbeidsledige;1724
;;Mottakere av arbeidsavklaringspenger / uføretrygd;89
;;Andre;1549
;Deltakere på arbeidsmarkedstiltak;Registrerte arbeidsledige;851
;;Mottakere av arbeidsavklaringspenger / uføretrygd;2011
;;Andre;1918
;Under ordinær utdanning;Registrerte arbeidsledige;859
;;Mottakere av arbeidsavklaringspenger / uføretrygd;1086
;;Andre;5963
;Mottakere av arbeidsavklaringspenger / uføretrygd;Registrerte arbeidsledige;526
;;Mottakere av arbeidsavklaringspenger / uføretrygd;20086
;;Andre;2206
;Andre;Registrerte arbeidsledige;1898
;;Mottakere av arbeidsavklaringspenger / uføretrygd;552
;;Andre;24537
;Ut av populasjonen;Registrerte arbeidsledige;108
;;Mottakere av arbeidsavklaringspenger / uføretrygd;123
;;Andre;4874
;;;
