SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;KjoennNivaa;KjoennKode;Kjoenn;EierformNivaa;Eierformkode;EierformNavn;Score;Standardavvik;AntallBesvart;AndelSvaralternativ1;AndelSvaralternativ2;AndelSvaralternativ3;AndelSvaralternativ4;AndelSvaralternativ5;AntallBesvartSvaralternativ1;AntallBesvartSvaralternativ2;AntallBesvartSvaralternativ3;AntallBesvartSvaralternativ4;AntallBesvartSvaralternativ5;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G202828;1BAA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,6;0,6;9;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202828;1BAA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,6;13;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575027;Thor Heyerdahl videregående skole;1;G202828;1BAA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,7;10;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575116;Sande videregående skole;1;G202830;1TIA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,6;9;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575027;Thor Heyerdahl videregående skole;1;G202830;1TIA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,6;12;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G202842;1BAD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,5;0,6;13;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202842;1BAD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;12;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202881;1IDB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;26;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202898;1IDA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;27;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;923261354;Horten videregående skole;1;G202900;1HOE;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,5;16;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202856;2STD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,6;17;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974574993;Greveskogen videregående skole;1;G202945;1STA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;24;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;990745277;Gjennestad videregående skole;1;G202890;2A;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,7;17;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202968;2BUA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,6;11;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974574993;Greveskogen videregående skole;1;G202981;2STE;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,7;15;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;923261354;Horten videregående skole;1;G202981;2STE;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,7;25;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202955;1HOA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;12;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575062;Holmestrand videregående skole;1;G202955;1HOA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,6;0,5;16;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575027;Thor Heyerdahl videregående skole;1;G202994;2HEA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,6;9;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;874575232;Re videregående skole;1;G202963;1STC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;28;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;923261354;Horten videregående skole;1;G202963;1STC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,7;26;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974574993;Greveskogen videregående skole;1;G203053;2SRA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,5;0,6;9;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;923261354;Horten videregående skole;1;G202996;1HOC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,7;13;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G203000;1BAE;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,7;10;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G203028;1BAB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,7;8;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575027;Thor Heyerdahl videregående skole;1;G203257;2BUB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,7;10;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575027;Thor Heyerdahl videregående skole;1;G203028;1BAB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,7;12;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575027;Thor Heyerdahl videregående skole;1;G203377;2PIA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,7;9;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G203184;1TIB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;16;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;923261354;Horten videregående skole;1;G203184;1TIB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;11;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575019;Sandefjord videregående skole;1;G203212;1STF;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,7;17;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G213100;2MAA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;13;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974574993;Greveskogen videregående skole;1;G203244;1STB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,6;23;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G203308;1TIC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,7;11;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575019;Sandefjord videregående skole;1;G203308;1TIC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,6;9;;;;;;;;;;;1;7102;7101
