SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;EierformNivaa;Eierformkode;EierformNavn;KjoennNivaa;KjoennKode;Kjoenn;AndelMobbet;AntallBesvart;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;TP;Teknologi- og industrifag;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;EL;Elektro og datateknologi;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;DT;Håndverk, design og produktutvikling;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;DT;Håndverk, design og produktutvikling;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;TP;Teknologi- og industrifag;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;RM;Restaurant- og matfag;1;3;Videregående trinn 3;0;-10;Alle eierformer;0;A;Alle kjønn;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;RM;Restaurant- og matfag;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;BA;Bygg- og anleggsteknikk;1;3;Videregående trinn 3;0;-10;Alle eierformer;0;A;Alle kjønn;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;DT;Håndverk, design og produktutvikling;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;*;*;1;4999;4998
