Kategorigruppe	Year	Month	Antall
Diverse	2022	1	411 717
Diverse	2022	2	61 236
Diverse	2022	3	74 076
Diverse	2022	4	59 275
Diverse	2022	5	64 588
Diverse	2022	6	62 298
Diverse	2022	7	50 953
Diverse	2022	8	77 042
Diverse	2022	9	74 169
Diverse	2022	10	65 229
Diverse	2022	11	68 865
Diverse	2022	12	55 360
Honnør	2022	1	27 661
Honnør	2022	2	68 736
Honnør	2022	3	88 476
Honnør	2022	4	76 890
Honnør	2022	5	85 797
Honnør	2022	6	89 499
Honnør	2022	7	79 478
Honnør	2022	8	93 427
Honnør	2022	9	90 927
Honnør	2022	10	90 876
Honnør	2022	11	94 982
Honnør	2022	12	88 152
Skole	2022	1	66 360
Skole	2022	2	134 248
Skole	2022	3	224 816
Skole	2022	4	142 794
Skole	2022	5	172 738
Skole	2022	6	88 215
Skole	2022	8	90 731
Skole	2022	9	232 448
Skole	2022	10	178 163
Skole	2022	11	248 495
Skole	2022	12	177 270
Ung/Barn	2022	1	82 430
Ung/Barn	2022	2	191 677
Ung/Barn	2022	3	261 246
Ung/Barn	2022	4	189 601
Ung/Barn	2022	5	206 428
Ung/Barn	2022	6	177 970
Ung/Barn	2022	7	116 288
Ung/Barn	2022	8	200 677
Ung/Barn	2022	9	251 547
Ung/Barn	2022	10	231 836
Ung/Barn	2022	11	276 628
Ung/Barn	2022	12	233 372
Voksen	2022	1	65 998
Voksen	2022	2	165 531
Voksen	2022	3	208 315
Voksen	2022	4	169 141
Voksen	2022	5	187 304
Voksen	2022	6	192 327
Voksen	2022	7	167 034
Voksen	2022	8	200 822
Voksen	2022	9	220 518
Voksen	2022	10	218 666
Voksen	2022	11	243 627
Voksen	2022	12	216 801
