Kategorigruppe	Year	Month	Antall
Diverse	2023	1	80 973
Diverse	2023	2	56 532
Diverse	2023	3	65 983
Diverse	2023	4	51 785
Diverse	2023	5	56 887
Diverse	2023	6	55 120
Diverse	2023	7	43 068
Diverse	2023	8	63 205
Diverse	2023	9	67 980
Diverse	2023	10	60 976
Honnør	2023	1	88 379
Honnør	2023	2	88 888
Honnør	2023	3	101 808
Honnør	2023	4	82 522
Honnør	2023	5	92 665
Honnør	2023	6	101 010
Honnør	2023	7	84 258
Honnør	2023	8	97 286
Honnør	2023	9	95 967
Honnør	2023	10	98 645
Skole	2023	1	224 887
Skole	2023	2	167 582
Skole	2023	3	253 742
Skole	2023	4	147 670
Skole	2023	5	175 887
Skole	2023	6	92 683
Skole	2023	8	78 951
Skole	2023	9	230 073
Skole	2023	10	195 060
Ung/Barn	2023	1	288 597
Ung/Barn	2023	2	247 261
Ung/Barn	2023	3	307 523
Ung/Barn	2023	4	216 715
Ung/Barn	2023	5	231 395
Ung/Barn	2023	6	202 465
Ung/Barn	2023	7	125 436
Ung/Barn	2023	8	201 211
Ung/Barn	2023	9	263 845
Ung/Barn	2023	10	248 113
Voksen	2023	1	256 367
Voksen	2023	2	237 022
Voksen	2023	3	277 408
Voksen	2023	4	206 604
Voksen	2023	5	224 256
Voksen	2023	6	236 871
Voksen	2023	7	194 831
Voksen	2023	8	233 521
Voksen	2023	9	249 217
Voksen	2023	10	254 794
Diverse	2022	1	411 717
Diverse	2022	2	61 236
Diverse	2022	3	74 076
Diverse	2022	4	59 275
Diverse	2022	5	64 588
Diverse	2022	6	62 298
Diverse	2022	7	50 953
Diverse	2022	8	77 042
Diverse	2022	9	74 169
Diverse	2022	10	65 229
Diverse	2022	11	68 865
Diverse	2022	12	55 360
Honnør	2022	1	27 661
Honnør	2022	2	68 736
Honnør	2022	3	88 476
Honnør	2022	4	76 890
Honnør	2022	5	85 797
Honnør	2022	6	89 499
Honnør	2022	7	79 478
Honnør	2022	8	93 427
Honnør	2022	9	90 927
Honnør	2022	10	90 876
Honnør	2022	11	94 982
Honnør	2022	12	88 152
Skole	2022	1	66 360
Skole	2022	2	134 248
Skole	2022	3	224 816
Skole	2022	4	142 794
Skole	2022	5	172 738
Skole	2022	6	88 215
Skole	2022	8	90 731
Skole	2022	9	232 448
Skole	2022	10	178 163
Skole	2022	11	248 495
Skole	2022	12	177 270
Ung/Barn	2022	1	82 430
Ung/Barn	2022	2	191 677
Ung/Barn	2022	3	261 246
Ung/Barn	2022	4	189 601
Ung/Barn	2022	5	206 428
Ung/Barn	2022	6	177 970
Ung/Barn	2022	7	116 288
Ung/Barn	2022	8	200 677
Ung/Barn	2022	9	251 547
Ung/Barn	2022	10	231 836
Ung/Barn	2022	11	276 628
Ung/Barn	2022	12	233 372
Voksen	2022	1	65 998
Voksen	2022	2	165 531
Voksen	2022	3	208 315
Voksen	2022	4	169 141
Voksen	2022	5	187 304
Voksen	2022	6	192 327
Voksen	2022	7	167 034
Voksen	2022	8	200 822
Voksen	2022	9	220 518
Voksen	2022	10	218 666
Voksen	2022	11	243 627
Voksen	2022	12	216 801
Diverse	2023	11	71 202
Honnør	2023	11	100 857
Skole	2023	11	254 537
Ung/Barn	2023	11	295 728
Voksen	2023	11	277 459

