Kommunenavn	Period	År	Måned	Antall
Færder	2022/01	2022	1	69 894
Holmestrand	2022/01	2022	1	51 417
Horten	2022/01	2022	1	63 495
Larvik	2022/01	2022	1	93 756
Sandefjord	2022/01	2022	1	119 025
Tønsberg	2022/01	2022	1	245 844
Færder	2022/02	2022	2	67 142
Holmestrand	2022/02	2022	2	46 649
Horten	2022/02	2022	2	64 381
Larvik	2022/02	2022	2	82 184
Sandefjord	2022/02	2022	2	111 194
Tønsberg	2022/02	2022	2	239 145
Færder	2022/03	2022	3	92 275
Holmestrand	2022/03	2022	3	70 622
Horten	2022/03	2022	3	88 438
Larvik	2022/03	2022	3	116 043
Sandefjord	2022/03	2022	3	151 365
Tønsberg	2022/03	2022	3	326 083
Færder	2022/04	2022	4	72 134
Holmestrand	2022/04	2022	4	48 047
Horten	2022/04	2022	4	66 049
Larvik	2022/04	2022	4	86 935
Sandefjord	2022/04	2022	4	107 962
Tønsberg	2022/04	2022	4	246 376
Færder	2022/05	2022	5	80 744
Holmestrand	2022/05	2022	5	53 268
Horten	2022/05	2022	5	72 291
Larvik	2022/05	2022	5	98 151
Sandefjord	2022/05	2022	5	118 958
Tønsberg	2022/05	2022	5	283 081
Færder	2022/06	2022	6	74 356
Holmestrand	2022/06	2022	6	38 388
Horten	2022/06	2022	6	63 053
Larvik	2022/06	2022	6	82 497
Sandefjord	2022/06	2022	6	92 721
Tønsberg	2022/06	2022	6	249 827
Færder	2022/07	2022	7	55 795
Holmestrand	2022/07	2022	7	15 452
Horten	2022/07	2022	7	43 278
Larvik	2022/07	2022	7	63 199
Sandefjord	2022/07	2022	7	60 053
Tønsberg	2022/07	2022	7	169 161
Færder	2022/08	2022	8	77 399
Holmestrand	2022/08	2022	8	44 307
Horten	2022/08	2022	8	74 917
Larvik	2022/08	2022	8	87 075
Sandefjord	2022/08	2022	8	103 429
Tønsberg	2022/08	2022	8	264 913
Færder	2022/09	2022	9	95 500
Holmestrand	2022/09	2022	9	70 436
Horten	2022/09	2022	9	91 903
Larvik	2022/09	2022	9	118 399
Sandefjord	2022/09	2022	9	142 267
Tønsberg	2022/09	2022	9	338 339
Færder	2022/10	2022	10	85 285
Holmestrand	2022/10	2022	10	58 666
Horten	2022/10	2022	10	85 028
Larvik	2022/10	2022	10	103 721
Sandefjord	2022/10	2022	10	130 998
Tønsberg	2022/10	2022	10	308 815
Færder	2022/11	2022	11	99 826
Holmestrand	2022/11	2022	11	72 449
Horten	2022/11	2022	11	94 624
Larvik	2022/11	2022	11	125 850
Sandefjord	2022/11	2022	11	164 868
Tønsberg	2022/11	2022	11	361 912
Færder	2022/12	2022	12	82 229
Holmestrand	2022/12	2022	12	55 237
Horten	2022/12	2022	12	76 567
Larvik	2022/12	2022	12	102 969
Sandefjord	2022/12	2022	12	134 789
Tønsberg	2022/12	2022	12	309 015
