Kommunenavn	Period	År	Måned	Antall
Færder	2023/01	2023	1	97 510
Holmestrand	2023/01	2023	1	70 025
Horten	2023/01	2023	1	96 451
Larvik	2023/01	2023	1	127 054
Sandefjord	2023/01	2023	1	166 991
Tønsberg	2023/01	2023	1	368 851
Færder	2023/02	2023	2	83 955
Holmestrand	2023/02	2023	2	55 370
Horten	2023/02	2023	2	85 868
Larvik	2023/02	2023	2	111 199
Sandefjord	2023/02	2023	2	138 446
Tønsberg	2023/02	2023	2	311 712
Færder	2023/03	2023	3	104 422
Holmestrand	2023/03	2023	3	76 846
Horten	2023/03	2023	3	105 018
Larvik	2023/03	2023	3	141 910
Sandefjord	2023/03	2023	3	175 493
Tønsberg	2023/03	2023	3	389 404
Færder	2023/04	2023	4	79 418
Holmestrand	2023/04	2023	4	50 321
Horten	2023/04	2023	4	75 088
Larvik	2023/04	2023	4	97 574
Sandefjord	2023/04	2023	4	114 179
Tønsberg	2023/04	2023	4	278 514
Færder	2023/05	2023	5	88 783
Holmestrand	2023/05	2023	5	56 953
Horten	2023/05	2023	5	80 935
Larvik	2023/05	2023	5	106 589
Sandefjord	2023/05	2023	5	122 786
Tønsberg	2023/05	2023	5	313 271
Færder	2023/06	2023	6	82 017
Holmestrand	2023/06	2023	6	42 832
Horten	2023/06	2023	6	70 261
Larvik	2023/06	2023	6	95 206
Sandefjord	2023/06	2023	6	102 112
Tønsberg	2023/06	2023	6	285 854
Færder	2023/07	2023	7	58 956
Holmestrand	2023/07	2023	7	17 433
Horten	2023/07	2023	7	44 811
Larvik	2023/07	2023	7	70 154
Sandefjord	2023/07	2023	7	66 023
Tønsberg	2023/07	2023	7	183 643
Færder	2023/08	2023	8	76 774
Holmestrand	2023/08	2023	8	42 728
Horten	2023/08	2023	8	76 049
Larvik	2023/08	2023	8	90 012
Sandefjord	2023/08	2023	8	104 017
Tønsberg	2023/08	2023	8	274 450
Færder	2023/09	2023	9	99 658
Holmestrand	2023/09	2023	9	72 412
Horten	2023/09	2023	9	93 627
Larvik	2023/09	2023	9	123 160
Sandefjord	2023/09	2023	9	146 209
Tønsberg	2023/09	2023	9	358 648
Færder	2023/10	2023	10	92 687
Holmestrand	2023/10	2023	10	66 356
Horten	2023/10	2023	10	88 589
Larvik	2023/10	2023	10	114 105
Sandefjord	2023/10	2023	10	143 137
Tønsberg	2023/10	2023	10	340 065
