LineNumber	Year	Month	Totals	Late	ONTIME
70001	2023	1	5 351	3 136	2 215
70001	2023	2	5 041	2 528	2 513
70001	2023	3	5 715	2 977	2 738
70001	2023	4	4 921	2 435	2 486
70001	2023	5	5 882	3 252	2 630
70001	2023	6	4 950	2 826	2 124
70001	2023	7	2 617	1 140	1 477
70001	2023	8	2 840	1 394	1 446
70001	2023	9	3 053	1 509	1 544
70001	2023	10	1 335	747	588
70002	2023	1	8 519	2 618	5 901
70002	2023	2	7 779	1 700	6 079
70002	2023	3	8 151	1 984	6 167
70002	2023	4	6 732	1 772	4 960
70002	2023	5	7 634	2 317	5 317
70002	2023	6	6 113	1 853	4 260
70002	2023	7	3 319	946	2 373
70002	2023	8	3 829	1 202	2 627
70002	2023	9	4 357	1 345	3 012
70002	2023	10	2 165	585	1 580
70011	2023	1	117	24	93
70011	2023	2	103	16	87
70011	2023	3	85	12	73
70011	2023	4	45	7	38
70011	2023	5	100	7	93
70011	2023	6	103	8	95
70011	2023	7	37		37
70011	2023	8	42	6	36
70011	2023	9	52	6	46
70011	2023	10	31	3	28
70100	2023	1	497	150	347
70100	2023	2	478	136	342
70100	2023	3	548	157	391
70100	2023	4	573	188	385
70100	2023	5	587	217	370
70100	2023	6	567	211	356
70100	2023	7	374	113	261
70100	2023	8	340	118	222
70100	2023	9	337	110	227
70100	2023	10	173	48	125
70108	2023	1	4 677	1 294	3 383
70108	2023	2	4 264	940	3 324
70108	2023	3	4 482	848	3 634
70108	2023	4	3 789	734	3 055
70108	2023	5	4 788	1 133	3 655
70108	2023	6	4 073	939	3 134
70108	2023	7	2 247	556	1 691
70108	2023	8	2 336	503	1 833
70108	2023	9	2 597	496	2 101
70108	2023	10	1 348	264	1 084
70109	2023	1	8 018	1 339	6 679
70109	2023	2	7 394	824	6 570
70109	2023	3	7 846	1 046	6 800
70109	2023	4	6 677	867	5 810
70109	2023	5	7 191	1 134	6 057
70109	2023	6	5 754	826	4 928
70109	2023	7	3 016	397	2 619
70109	2023	8	3 301	594	2 707
70109	2023	9	3 716	564	3 152
70109	2023	10	1 796	298	1 498
70110	2023	1	676	182	494
70110	2023	2	642	142	500
70110	2023	3	679	169	510
70110	2023	4	526	174	352
70110	2023	5	647	228	419
70110	2023	6	653	225	428
70110	2023	7	434	148	286
70110	2023	8	417	157	260
70110	2023	9	399	145	254
