LineNumber	Year	Month	Totals	Late	ONTIME
70001	2022	1	4 870	1 885	2 985
70002	2022	1	8 156	1 480	6 676
70011	2022	1	139	17	122
70100	2022	1	346	88	258
70108	2022	1	4 523	867	3 656
70109	2022	1	7 114	678	6 436
70110	2022	1	202	42	160
70111	2022	1	1 456	216	1 240
70112	2022	1	196	63	133
70113	2022	1	7 078	989	6 089
70114	2022	1	114	15	99
70115	2022	1	1 429	218	1 211
70116	2022	1	6 749	1 488	5 261
70117	2022	1	125	28	97
70118	2022	1	123	13	110
70120	2022	1	360	90	270
70121	2022	1	156	37	119
70124	2022	1	781	172	609
70130	2022	1	1 416	215	1 201
9999	2022	1	45 333	8 601	36 732
70001	2023	1	5 351	3 136	2 215
70002	2023	1	8 519	2 618	5 901
70011	2023	1	117	24	93
70100	2023	1	497	150	347
70108	2023	1	4 677	1 294	3 383
70109	2023	1	8 018	1 339	6 679
70110	2023	1	676	182	494
70111	2023	1	1 764	339	1 425
70112	2023	1	164	92	72
70113	2023	1	8 092	1 852	6 240
70114	2023	1	193	20	173
70115	2023	1	1 585	305	1 280
70116	2023	1	6 450	2 232	4 218
70117	2023	1	90	26	64
70118	2023	1	444	98	346
70120	2023	1	344	136	208
70121	2023	1	115	50	65
70124	2023	1	718	237	481
70130	2023	1	1 607	396	1 211
9999	2023	1	49 421	14 526	34 895
70001	2022	2	4 817	1 984	2 833
70002	2022	2	7 615	1 494	6 121
70011	2022	2	136	22	114
70100	2022	2	362	92	270
70108	2022	2	4 253	848	3 405
70109	2022	2	6 690	878	5 812
70110	2022	2	227	40	187
70111	2022	2	1 370	200	1 170
70112	2022	2	183	77	106
70113	2022	2	6 752	1 124	5 628
70114	2022	2	139	18	121
70115	2022	2	1 405	214	1 191
70116	2022	2	6 333	1 463	4 870
70117	2022	2	101	29	72
70118	2022	2	137	18	119
70120	2022	2	371	118	253
70121	2022	2	141	33	108
70124	2022	2	697	171	526
70130	2022	2	1 288	232	1 056
9999	2022	2	43 017	9 055	33 962
70001	2023	2	5 041	2 528	2 513
70002	2023	2	7 779	1 700	6 079
70011	2023	2	103	16	87
70100	2023	2	478	136	342
70108	2023	2	4 264	940	3 324
70109	2023	2	7 394	824	6 570
70110	2023	2	642	142	500
70111	2023	2	1 675	213	1 462
70112	2023	2	145	57	88
70113	2023	2	7 523	1 238	6 285
70114	2023	2	187	15	172
70115	2023	2	1 544	236	1 308
70116	2023	2	5 954	1 657	4 297
70117	2023	2	94	24	70
70118	2023	2	424	85	339
70120	2023	2	325	115	210
70121	2023	2	105	27	78
70124	2023	2	726	172	554
70130	2023	2	1 456	280	1 176
9999	2023	2	45 859	10 405	35 454
70001	2022	3	5 783	2 592	3 191
70002	2022	3	9 202	2 038	7 164
70011	2022	3	160	31	129
70100	2022	3	465	137	328
70108	2022	3	5 169	1 109	4 060
70109	2022	3	8 014	1 263	6 751
70110	2022	3	551	153	398
70111	2022	3	1 667	277	1 390
70112	2022	3	203	108	95
70113	2022	3	7 957	1 738	6 219
70114	2022	3	179	25	154
70115	2022	3	1 659	270	1 389
70116	2022	3	7 685	1 887	5 798
70117	2022	3	165	51	114
70118	2022	3	374	117	257
70120	2022	3	436	140	296
70121	2022	3	184	42	142
70124	2022	3	897	199	698
70130	2022	3	1 559	300	1 259
9999	2022	3	52 309	12 477	39 832
70001	2023	3	5 715	2 977	2 738
70002	2023	3	8 151	1 984	6 167
70011	2023	3	85	12	73
70100	2023	3	548	157	391
70108	2023	3	4 482	848	3 634
70109	2023	3	7 846	1 046	6 800
70110	2023	3	679	169	510
70111	2023	3	1 743	185	1 558
70112	2023	3	175	73	102
70113	2023	3	8 008	1 432	6 576
70114	2023	3	292	40	252
70115	2023	3	1 580	214	1 366
70116	2023	3	6 789	1 973	4 816
70117	2023	3	131	34	97
70118	2023	3	473	80	393
70120	2023	3	267	68	199
70121	2023	3	93	18	75
70124	2023	3	729	209	520
70130	2023	3	1 422	157	1 265
9999	2023	3	49 208	11 676	37 532
70001	2022	4	4 773	2 139	2 634
70002	2022	4	7 921	1 744	6 177
70011	2022	4	148	34	114
70100	2022	4	384	121	263
70108	2022	4	4 495	946	3 549
70109	2022	4	6 984	1 093	5 891
70110	2022	4	522	168	354
70111	2022	4	1 401	196	1 205
70112	2022	4	161	88	73
70113	2022	4	7 016	1 368	5 648
70114	2022	4	151	20	131
70115	2022	4	1 489	255	1 234
70116	2022	4	6 510	1 531	4 979
70117	2022	4	129	51	78
70118	2022	4	345	100	245
70120	2022	4	342	108	234
70121	2022	4	142	34	108
70124	2022	4	692	155	537
70130	2022	4	1 297	247	1 050
9999	2022	4	44 902	10 398	34 504
70001	2023	4	4 921	2 435	2 486
70002	2023	4	6 732	1 772	4 960
70011	2023	4	45	7	38
70100	2023	4	573	188	385
70108	2023	4	3 789	734	3 055
70109	2023	4	6 677	867	5 810
70110	2023	4	526	174	352
70111	2023	4	1 428	146	1 282
70112	2023	4	145	61	84
70113	2023	4	6 772	1 055	5 717
70114	2023	4	247	33	214
70115	2023	4	1 280	147	1 133
70116	2023	4	5 672	1 514	4 158
70117	2023	4	94	24	70
70118	2023	4	394	80	314
70120	2023	4	201	39	162
70121	2023	4	67	13	54
70124	2023	4	544	139	405
70130	2023	4	1 107	116	991
9999	2023	4	41 214	9 544	31 670
70001	2022	5	5 260	2 800	2 460
70002	2022	5	8 436	2 057	6 379
70011	2022	5	139	45	94
70100	2022	5	420	120	300
70108	2022	5	4 800	1 042	3 758
70109	2022	5	7 253	1 325	5 928
70110	2022	5	534	153	381
70111	2022	5	1 536	274	1 262
70112	2022	5	166	89	77
70113	2022	5	7 450	1 556	5 894
70114	2022	5	167	27	140
70115	2022	5	1 534	287	1 247
70116	2022	5	6 907	1 649	5 258
70117	2022	5	126	35	91
70118	2022	5	362	119	243
70120	2022	5	385	152	233
70121	2022	5	145	41	104
70124	2022	5	782	199	583
70130	2022	5	1 399	292	1 107
9999	2022	5	47 801	12 262	35 539
70001	2023	5	5 882	3 252	2 630
70002	2023	5	7 634	2 317	5 317
70011	2023	5	100	7	93
70100	2023	5	587	217	370
70108	2023	5	4 788	1 133	3 655
70109	2023	5	7 191	1 134	6 057
70110	2023	5	647	228	419
70111	2023	5	1 897	419	1 478
70112	2023	5	165	70	95
70113	2023	5	7 307	1 490	5 817
70114	2023	5	278	61	217
70115	2023	5	1 642	403	1 239
70116	2023	5	6 650	1 984	4 666
70117	2023	5	119	29	90
70118	2023	5	487	147	340
70120	2023	5	311	71	240
70121	2023	5	113	46	67
70124	2023	5	807	223	584
70130	2023	5	1 615	266	1 349
9999	2023	5	48 220	13 497	34 723
70001	2022	6	5 002	2 494	2 508
70002	2022	6	7 878	2 118	5 760
70011	2022	6	153	35	118
70100	2022	6	437	124	313
70108	2022	6	4 697	1 094	3 603
70109	2022	6	7 162	1 057	6 105
70110	2022	6	554	160	394
70111	2022	6	1 676	311	1 365
70112	2022	6	107	43	64
70113	2022	6	7 189	1 458	5 731
70114	2022	6	158	26	132
70115	2022	6	1 564	398	1 166
70116	2022	6	6 781	1 768	5 013
70117	2022	6	120	39	81
70118	2022	6	365	124	241
70120	2022	6	307	133	174
70121	2022	6	105	40	65
70124	2022	6	681	209	472
70130	2022	6	1 388	258	1 130
9999	2022	6	46 324	11 889	34 435
70001	2023	6	4 950	2 826	2 124
70002	2023	6	6 113	1 853	4 260
70011	2023	6	103	8	95
70100	2023	6	567	211	356
70108	2023	6	4 073	939	3 134
70109	2023	6	5 754	826	4 928
70110	2023	6	653	225	428
70111	2023	6	1 752	414	1 338
70112	2023	6	99	37	62
70113	2023	6	5 935	1 220	4 715
70114	2023	6	233	40	193
70115	2023	6	1 536	399	1 137
70116	2023	6	5 610	1 609	4 001
70117	2023	6	137	26	111
70118	2023	6	526	175	351
70120	2023	6	302	65	237
70121	2023	6	76	28	48
70124	2023	6	719	233	486
70130	2023	6	1 477	240	1 237
9999	2023	6	40 615	11 374	29 241
70001	2022	7	4 297	1 864	2 433
70002	2022	7	7 050	1 611	5 439
70011	2022	7	96	10	86
70100	2022	7	477	120	357
70108	2022	7	4 122	680	3 442
70109	2022	7	6 313	610	5 703
70110	2022	7	702	146	556
70111	2022	7	1 620	317	1 303
70113	2022	7	6 342	821	5 521
70114	2022	7	198	23	175
70115	2022	7	1 546	300	1 246
70116	2022	7	5 812	1 036	4 776
70117	2022	7	98	20	78
70118	2022	7	466	103	363
70120	2022	7	217	111	106
70121	2022	7	51	22	29
70124	2022	7	524	137	387
70130	2022	7	1 261	182	1 079
9999	2022	7	41 192	8 113	33 079
70001	2023	7	2 617	1 140	1 477
70002	2023	7	3 319	946	2 373
70011	2023	7	37	0	37
70100	2023	7	374	113	261
70108	2023	7	2 247	556	1 691
70109	2023	7	3 016	397	2 619
70110	2023	7	434	148	286
