LineNumber	Year	Month	Totals	Late	ONTIME
Totals	Totals	Totals	79 955	21 661	58 294
70001	2022	11	5 203	2 924	2 279
70001	2023	11	3 865	2 035	1 830
70002	2022	11	8 012	2 089	5 923
70002	2023	11	5 500	1 523	3 977
70011	2022	11	156	37	119
70011	2023	11	61	4	57
70100	2022	11	494	139	355
70100	2023	11	424	118	306
70108	2022	11	4 566	1 048	3 518
70108	2023	11	3 203	658	2 545
70109	2022	11	7 166	1 107	6 059
70109	2023	11	4 607	948	3 659
70110	2022	11	686	189	497
70110	2023	11	479	150	329
70111	2022	11	1 745	294	1 451
70111	2023	11	1 332	351	981
70112	2022	11	175	92	83
70112	2023	11	105	51	54
70113	2022	11	7 197	1 527	5 670
70113	2023	11	4 667	1 108	3 559
70114	2022	11	206	24	182
70114	2023	11	187	23	164
70115	2022	11	1 637	286	1 351
70115	2023	11	1 183	328	855
70116	2022	11	6 349	1 841	4 508
70116	2023	11	4 577	1 249	3 328
70117	2022	11	118	41	77
70117	2023	11	92	16	76
70118	2022	11	460	110	350
70118	2023	11	389	99	290
70120	2022	11	390	157	233
70120	2023	11	290	62	228
70121	2022	11	131	45	86
70121	2023	11	99	23	76
70124	2022	11	784	242	542
70124	2023	11	611	156	455
70130	2022	11	1 659	346	1 313
70130	2023	11	1 150	221	929
