Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;101;;Anmodning om bosetting;20
Personer;1995;101;;Faktisk bosetting;.
Personer;1995;101;;Vedtak om bosetting;20
Personer;1995;102;;Anmodning om bosetting;20
Personer;1995;102;;Faktisk bosetting;.
Personer;1995;102;;Vedtak om bosetting;.
Personer;1995;103;;Anmodning om bosetting;50
Personer;1995;103;;Faktisk bosetting;.
Personer;1995;103;;Vedtak om bosetting;.
Personer;1995;104;Moss (t.o.m. 2019);Anmodning om bosetting;20
Personer;1995;104;Moss (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;104;Moss (t.o.m. 2019);Vedtak om bosetting;0
Personer;1995;105;;Anmodning om bosetting;20
Personer;1995;105;;Faktisk bosetting;.
Personer;1995;105;;Vedtak om bosetting;15
Personer;1995;106;;Anmodning om bosetting;50
Personer;1995;106;;Faktisk bosetting;.
Personer;1995;106;;Vedtak om bosetting;60
Personer;1995;111;;Anmodning om bosetting;0
Personer;1995;111;;Faktisk bosetting;.
Personer;1995;111;;Vedtak om bosetting;.
Personer;1995;118;;Anmodning om bosetting;0
Personer;1995;118;;Faktisk bosetting;.
Personer;1995;118;;Vedtak om bosetting;.
Personer;1995;119;;Anmodning om bosetting;0
Personer;1995;119;;Faktisk bosetting;.
Personer;1995;119;;Vedtak om bosetting;.
Personer;1995;121;Rømskog (t.o.m. 2019);Anmodning om bosetting;.
Personer;1995;121;Rømskog (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;121;Rømskog (t.o.m. 2019);Vedtak om bosetting;5
Personer;1995;122;Trøgstad (t.o.m. 2019);Anmodning om bosetting;10
Personer;1995;122;Trøgstad (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;122;Trøgstad (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;123;Spydeberg (t.o.m. 2019);Anmodning om bosetting;10
Personer;1995;123;Spydeberg (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;123;Spydeberg (t.o.m. 2019);Vedtak om bosetting;.
Personer;1995;124;Askim (t.o.m. 2019);Anmodning om bosetting;15
