Arealregnskap[Kommune],Arealregnskap[Arealformålsgruppe],Arealregnskap[Planreservekategori],Arealregnskap[Arealtype],[Dekar]
Færder,01 Bolig eller sentrumsformål,Antatt planreserve,Ferskvann,0.7441363614961972
Færder,01 Bolig eller sentrumsformål,Antatt planreserve,Fulldyrka jord,140.17167015109717
Færder,01 Bolig eller sentrumsformål,Antatt planreserve,Hav,3.735864380573335
Færder,01 Bolig eller sentrumsformål,Antatt planreserve,Innmarksbeite,3.3096261669412126
Færder,01 Bolig eller sentrumsformål,Antatt planreserve,Overflatedyrka jord,4.617193329732253
Færder,01 Bolig eller sentrumsformål,Antatt planreserve,Skog,945.754415794769
Færder,01 Bolig eller sentrumsformål,Antatt planreserve,Åpen fastmark,203.1538165009961
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Bebygd,9400.334042443388
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Ferskvann,4.953666087710947
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Fulldyrka jord,70.54497673565331
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Hav,6.4761541170549535
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Innmarksbeite,2.029599051978973
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Overflatedyrka jord,0.7442999669528636
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Samferdsel,938.3112279900676
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Skog,1042.9731620301632
Færder,01 Bolig eller sentrumsformål,Planlagt og i bruk,Åpen fastmark,337.45837030163835
Færder,02 Fritidsbebyggelse,Antatt planreserve,Ferskvann,0.28054895049218653
Færder,02 Fritidsbebyggelse,Antatt planreserve,Fulldyrka jord,5.9805705757108045
Færder,02 Fritidsbebyggelse,Antatt planreserve,Hav,11.689254597013012
Færder,02 Fritidsbebyggelse,Antatt planreserve,Innmarksbeite,0.5146219287520941
Færder,02 Fritidsbebyggelse,Antatt planreserve,Skog,421.48199806762705
Færder,02 Fritidsbebyggelse,Antatt planreserve,Åpen fastmark,212.73318008562865
